plot_id,StauAbs,Flutung,AbsGer,HoehGer,BFmittel,WHH,BOMmitt,GWMin,GWMax,GWSpann,UeFzArtan,WWzArtan,UeFzDeck,WWzDeck,Bkum,Vegtyp,BAUM,VAR
A1,1550.89,1,8,1.48,22.26,2,25,1.85,1.49,0.36,4.17,12.5,1.59,12.7,32,5,3,2
A10,1534.24,2,175.5,1.87,63.42,6.3,111,2.26,1.92,0.34,12.5,12.5,13.91,57.62,51,15,3,6
A100,4018.41,2,16.2,3.25,20.24,5,85,2.93,2.21,0.72,0,4,0,1.11,51.25,1,1,1
A101,4067.9,2,17.9,3.92,19.78,5,85,3.5,2.79,0.71,0,5.88,0,1.06,47.5,1,1,1
A102,3716.39,2,17,2.53,22.26,2,25,2.46,1.72,0.74,5.66,16.98,3.11,24.87,45,1,1,1
A103,3839.86,2,140.7,3.05,22.95,6,175,2.36,1.61,0.75,2.63,5.26,0.61,1.23,67,2,1,1
A104,4680.58,2,98.2,1.71,24.09,6,115,3.06,2.51,0.55,2.63,10.53,0.74,2.94,73,2,1,1
A105,4613.17,2,225,0.6,23.71,6,115,2.96,2.38,0.58,2.27,11.36,2.42,3.03,56,2,1,1
A106,5624.6,1,7.7,0.29,39.81,8,220,-0.84,-1.32,0.48,18.92,13.51,17.81,7.53,20,16,3,6
A107,5791.32,1,10.6,1.87,26.29,7,220,0.27,-0.22,0.49,5.13,10.26,1.34,20.13,66,11,2,4
A108,5824,1,3.7,1.63,27.57,7,220,-0.01,-0.5,0.49,9.68,6.45,2.46,65.57,55,11,2,4
A109,5579.84,1,74.9,0.97,29.18,5,85,0.07,-0.41,0.48,6.67,15.56,3.95,30.26,37,3,2,2
A11,984.2,2,230.2,0.79,51.53,6.3,111,0.28,-0.17,0.45,3.7,7.41,6.15,3.08,60,13,3,4
A110,5684.24,1,31.5,1.61,22.78,6,145,1.05,0.56,0.48,4.55,4.55,2.67,2.67,36.25,2,1,1
A111,5717.67,1,95.2,1.1,27.29,8,220,0.08,-0.39,0.47,12.5,6.25,2.8,28.67,51.25,10,2,4
A112,5144.01,1,3.4,0.84,25.61,7,220,2.26,1.79,0.47,9.76,7.32,5.29,4.33,54.5,9,2,3
A113,5236.3,1,21.4,0.5,25.24,7,220,1.21,0.73,0.48,7.32,7.32,6.85,8.9,61,13,3,4
A114,5406.06,1,8.6,0.45,21.95,7,220,1.17,0.7,0.48,7.14,11.9,9.5,2.79,44.75,4,2,2
A115,4719.38,1,39.4,0.51,24.44,5,85,2.06,1.52,0.54,2.44,12.2,0.6,2.98,55,5,3,2
A116,5325.57,1,57.7,1.01,25.76,7,175,1.16,0.68,0.48,10.81,8.11,3.61,21.65,44.75,12,3,4
A117,5656.57,1,83.2,1.88,26.57,6,145,1.1,0.63,0.47,3.23,6.45,2.52,5.03,52.5,9,2,3
A12,1012.87,2,357.1,2.11,27.33,6,220,2.21,1.71,0.49,2.38,11.9,0.63,5.06,70.25,2,1,1
A121,4676.3,2,12.4,0.41,22.81,6,115,3.03,2.48,0.55,4.88,4.88,2.5,1,55,2,1,1
A122,4920.62,2,4,0.31,25.73,7,220,2.23,1.74,0.49,6.52,10.87,1.4,3.72,54.5,4,2,2
A123,4957.82,2,22.9,0.42,25.95,6,145,3.26,2.79,0.48,2.63,7.89,1.47,1.1,44.75,4,2,2
A124,4949.4,2,39,0.84,21.29,5,85,2.22,1.73,0.49,2.56,2.56,0.53,0.53,53.25,2,1,1
A125,4716.83,2,63,0.91,24.82,6,220,3.09,2.56,0.53,2.5,7.5,0.72,4.32,55,2,1,1
A126,5150.27,2,76.1,2.08,25.44,6,145,3.31,2.85,0.46,2.38,9.52,9.76,1.95,51.25,4,2,2
A13,1513.8,2,15.5,3.37,25.4,2,25,3.86,3.47,0.39,2.56,2.56,0.59,0.59,74.5,1,1,1
A14,1199.3,2,18.2,4.18,24.6,6.3,111,3.71,3.36,0.35,4.76,14.29,10.45,2.99,46,3,2,2
A15,787.46,2,17.1,3.8,25.77,6.3,111,3.09,2.59,0.5,2.78,8.33,15.94,1.2,49,6,2,2
A16,1569.77,2,65.81,3.34,21.06,2,25,3.9,3.5,0.4,3.03,9.09,2.41,1.81,68.5,1,1,1
A17,804.37,2,38.9,3.51,26.32,6.3,111,3.07,2.57,0.49,2.7,5.41,0.57,2.87,73.75,2,1,1
A18,601.08,2,198.4,2.55,21.13,4,85,3.15,2.56,0.58,4.88,2.44,1.47,0.74,61.75,1,1,1
A2,1127.41,1,11.9,0.7,27.7,6.3,111,0.61,0.24,0.37,3.33,13.33,3.05,3.05,58,4,2,2
A22,408.55,1,13.4,0.86,24.46,7,220,2.23,1.44,0.79,4.17,16.67,7.41,2.59,90.5,9,2,3
A23,17.5,1,4.5,0.16,25.25,6,85,1.91,1.21,0.7,3.03,6.06,15.63,1.56,54.5,5,3,2
A24,654.53,1,15,0.75,25.39,8,115,1.54,0.67,0.87,2.38,14.29,12.2,3.66,66,6,2,2
A25,5.4,1,61.7,1.14,26.42,6,115,1.95,1.24,0.7,3.57,14.29,4.06,7.11,58,10,2,4
A26,973.66,1,140,0.48,25.07,7,220,0.85,-0.1,0.96,6.06,12.12,15,5,66,13,3,4
A27,427.64,1,94.4,0.73,27.09,6,205,1.33,0.54,0.8,2.33,6.98,3.1,2.33,65,8,2,3
A28,265.4,1,17.5,1.58,34.46,6,205,2.12,1.36,0.75,2.33,13.95,4.76,19.05,68.5,8,2,3
A29,96.05,1,16.2,1.81,29.59,6,115,1.99,1.27,0.72,2.38,11.9,11.11,4.44,55,9,2,3
A3,510.93,1,7.6,0.55,31.8,5,85,0.44,-0.15,0.59,4.88,4.88,1.85,4.63,41.5,12,3,4
A30,983.22,1,21.4,1.51,26.86,8,115,1.89,0.91,0.97,2.86,11.43,6.4,11.2,58,4,2,2
A31,347.85,1,46.5,1.43,27.53,6,205,2.21,1.44,0.78,8.11,5.41,12.08,3.86,72,8,2,3
A32,470.24,1,103.3,1.56,27.83,6,205,2.39,1.58,0.81,2.44,4.88,1.22,2.44,57.5,3,2,2
A33,997.24,1,32.4,1.48,25.62,6,115,1.9,0.92,0.98,3.23,6.45,2.96,1.48,54.5,12,3,4
A34,147.36,2,634.2,1,28.85,6,115,1.45,0.77,0.68,2.56,5.13,3.64,0.91,67,8,2,3
A35,32.76,2,690.8,1,27.24,8,115,1.56,0.86,0.7,2.86,8.57,16.53,18.18,58,5,3,2
A36,337.98,2,743,1.05,36.91,6,115,1.51,0.79,0.72,19.05,9.52,14.49,40.58,51,13,3,4
A37,264.8,2,17.4,3.42,21.63,6,115,4.03,3.28,0.75,4.35,2.17,5.13,0.64,44,1,1,1
A38,103.1,2,15.8,3.42,25.81,6,115,3.76,3.04,0.72,5.26,2.63,6.16,2.74,70.75,5,3,2
A39,889.82,2,23.1,2.42,23.18,6,175,2.8,1.85,0.95,2.33,11.63,11.56,2.89,75.25,4,2,2
A4,1630.11,1,164.1,1.48,23.59,2,25,2.27,1.91,0.36,2.22,13.33,0.55,3.3,57.5,5,3,2
A40,293.9,2,30.2,2.94,20.64,5,85,3.12,2.36,0.76,4.88,0,2.46,0,56,1,1,1
A41,618.5,2,145.7,2.67,18.29,3,55,3.54,2.68,0.85,3.45,6.9,0.61,1.23,51,5,3,2
A42,972.2,2,119.6,2.84,22.81,4,55,2.89,1.93,0.96,2,6,0.68,2.03,73.75,1,1,1
A43,1742.57,1,7.9,0.64,24.65,8,55,1.32,0.27,1.05,1.82,9.09,2.29,2.86,38.25,7,3,2
A44,1290.99,1,14.3,0.72,25.57,9,175,1.13,0.12,1,5.41,5.41,6.25,6.25,72,12,3,4
A45,1805.14,1,9.7,0.85,22.56,8,145,1.53,0.46,1.07,1.85,7.41,5.06,2.53,56,14,3,5
A46,1454.73,1,45.5,0.72,30.87,8,85,0.24,-0.79,1.02,8.33,8.33,19.64,22.32,57.75,13,3,4
A47,1655.86,1,55.9,0.89,30.5,8,85,0.35,-0.68,1.03,2.7,13.51,2.61,3.27,72.5,13,3,4
A48,1323.69,1,41.7,0.51,30.08,8,175,0.15,-0.86,1.01,2.78,8.33,0.81,20.16,83,13,3,4
A49,1721.55,1,16.4,1.74,22.25,8,55,2.4,1.36,1.04,3.77,7.55,14.48,2.76,58,7,3,2
A5,1545.77,1,90.3,1.33,22.28,5,85,1.71,1.36,0.35,2.22,4.44,0.52,1.04,72,7,3,2
A50,1721.44,1,22.8,1.48,20.79,4,55,2.38,1.32,1.05,5.77,13.46,1.91,6.37,43.75,7,3,2
A51,1788.85,1,21.1,1.7,24.04,6,115,2.43,1.39,1.05,2.38,7.14,2.52,1.89,58,4,2,2
A52,1702.62,1,72.3,1.41,22.99,4,55,1.51,0.46,1.05,2.08,10.42,0.74,5.88,56,5,3,2
A53,1433.44,1,67.1,1.54,24,4,55,1.22,0.2,1.02,3.13,6.25,1.23,2.47,56,13,3,4
A54,1316.81,1,69.4,1.8,22.88,4,55,1.15,0.15,1,3.85,3.85,0.62,2.47,58,13,3,4
A58,1322.93,2,18,2.72,27.57,6,220,3.15,2.13,1.02,2.78,13.89,2.67,8,58.75,4,2,2
A59,1434.99,2,21.5,2.52,26.72,6,175,3.17,2.14,1.03,2.78,5.56,0.53,1.07,60,9,2,3
A6,799.06,1,100.2,1.25,28.34,5,85,1.12,0.63,0.49,2.86,5.71,0.98,4.9,86.5,10,2,4
A60,1536.83,2,15.1,2.78,30.08,9,175,3.3,2.26,1.04,3.57,10.71,3.17,2.38,64,9,2,3
A61,1620.29,2,47.2,2.91,34.06,6,115,3.36,2.32,1.04,0,16,0,4.1,64,9,2,3
A62,1505.48,2,40.7,2.48,31.18,6,175,3.17,2.13,1.04,6.25,6.25,1.43,6.43,73,9,2,3
A63,1231.17,2,76.8,2.47,29.28,6,220,3.08,2.07,1.01,7.14,7.14,0.49,1.94,80.75,9,2,3
A64,2796.64,1,10.3,0.18,22.65,10,85,0.87,0.01,0.86,10.71,3.57,6.19,4.12,58,14,3,5
A65,2862.59,1,20,0.53,26.44,6,115,0.9,0.06,0.85,11.9,14.29,31.11,21.33,28,15,3,6
A66,2720.28,1,20,0.79,25.17,5,85,0.82,-0.05,0.87,5.26,2.63,7.83,0.87,58.75,14,3,5
A67,2249.13,1,111.5,0.91,33.45,9,85,0.56,-0.45,1,10.81,13.51,14.4,35.2,24,16,3,6
A68,2714.39,1,44,0.61,26.59,5,85,0.81,-0.06,0.87,11.11,3.7,30.22,0.72,66.25,14,3,5
A69,3090.38,1,104.5,0.48,26.46,4,55,0.11,-0.72,0.83,9.43,11.32,3.85,34.62,51.25,14,3,5
A7,841.8,1,77.7,1.59,27.93,5,85,1.09,0.61,0.48,2.94,2.94,1.82,1.82,79,10,2,4
A70,2686.26,1,24,1.45,24.31,9,85,1.8,0.92,0.88,7.69,7.69,2.73,2.73,49,14,3,5
A71,3026.56,1,17.7,1.05,25.16,5,85,1,0.17,0.82,7.69,17.95,4.11,9.59,23.5,5,3,2
A72,3239.94,1,12.9,1.41,23.08,8,145,1.11,0.3,0.82,4.35,13.04,1.54,6.92,68.5,14,3,5
A73,2146.65,1,250.4,1.42,25.41,8,220,1.49,0.47,1.03,8.11,13.51,9.42,3.62,49,7,3,2
A74,2680.46,1,38.2,1.52,28.02,9,100,1.82,0.93,0.89,5.13,12.82,17.36,9.92,56,12,3,4
A75,2631.71,1,92.2,1.37,23.99,5,85,1.17,0.29,0.88,2.63,10.53,0.81,3.23,46,6,2,2
A76,3107.85,2,202.6,1.21,32.51,6,175,1.08,0.23,0.85,11.11,13.89,17.42,48.48,64,15,3,6
A77,3111.05,2,134.4,0.42,52.93,10,85,-0.77,-1.58,0.81,20.83,33.33,21.65,34.02,24,18,4,7
A78,3142.13,2,181.9,0.44,45.92,10,85,0.06,-0.74,0.8,34.48,27.59,29.85,44.78,44.75,18,4,7
A79,1907.63,2,13.5,2.73,22.38,6,115,3.47,2.4,1.07,2.33,4.65,0.65,1.31,61,2,1,1
A8,733.19,1,70.7,1.63,29.86,6,175,1.34,0.8,0.54,8.57,11.43,10.99,4.4,78.75,10,2,4
A80,3213.59,2,15.7,2.49,22.95,6,145,2.11,1.31,0.81,4.35,4.35,4.55,1.82,73,5,3,2
A81,2655.54,2,17.2,2.49,23.32,6,175,2.81,1.92,0.89,2.94,5.88,0.5,0.99,52,2,1,1
A82,2698.32,2,40.8,2.68,28.26,6,175,2.87,1.98,0.89,4.88,7.32,7.32,5.49,66,4,2,2
A83,3242.72,2,50.5,2.59,26.04,6,115,3.1,2.27,0.83,4.17,8.33,1.42,2.84,70,3,2,2
A84,1906.5,2,63.3,3.06,22.77,6,115,3.5,2.44,1.06,2.08,4.17,0.6,1.2,79,2,1,1
A85,3706.14,1,21.2,1.02,27.98,9,115,0.41,-0.34,0.75,14.29,14.29,4.57,48,41.5,15,3,6
A86,3727.03,1,13.7,0.64,30.83,10,55,0.38,-0.37,0.76,3.45,10.34,0.86,36.21,77.5,13,3,4
A87,3697.08,1,17.3,0.83,30.57,9,115,0.42,-0.33,0.75,21.88,15.63,6.13,51.53,43.75,15,3,6
A88,3499.15,1,319,0.99,36.94,10,85,1.31,0.56,0.76,12,28,6.87,50.38,40.5,17,4,7
A89,4568.23,1,70.1,0.06,28.48,8,145,0.85,0.26,0.6,12.9,12.9,4.58,30.07,84.25,15,3,6
A9,758.08,1,358.1,1.73,23.57,3,55,1.42,0.87,0.55,4.76,11.9,1.28,15.38,76,7,3,2
A90,4421.22,1,95.5,0.88,32.53,9,115,0.75,0.09,0.66,12.9,19.35,2.84,59.57,49,16,3,6
A91,4595.24,1,16.2,1.92,24.72,8,220,1.81,1.21,0.6,3.33,3.33,3.77,0.94,54.5,2,1,1
A92,3678.33,1,21.6,1.18,27.19,9,115,0.42,-0.34,0.75,12.82,10.26,4.79,25.75,41.5,15,3,6
A93,3782.93,1,16.2,1.33,27.57,8,85,0.43,-0.32,0.75,3.33,13.33,0.83,19.17,52,15,3,6
A94,3510.64,1,283.9,1.24,24.15,4,55,1.34,0.57,0.76,12,8,5.95,12.5,33.5,13,3,4
A95,4543.11,1,126.1,1.03,24.07,4,55,1.83,1.22,0.61,5.41,5.41,1.47,1.47,70,11,2,4
A96,4462.49,1,92.5,1.57,26.47,4,55,0.75,0.11,0.64,6.67,13.33,1.38,15.86,52,15,3,6
A97,3662.14,2,251.5,0.54,32.1,9,100,0.23,-0.55,0.79,22.22,22.22,15.75,25.2,75.5,17,4,7
A98,3681.34,2,338.4,0.58,39.12,9,100,0.21,-0.57,0.78,28.57,19.05,33.69,7.49,61.5,17,4,7
A99,3676.31,2,367.1,0.5,47.75,9,100,0.2,-0.58,0.78,30,20,69.74,4.61,33.5,18,4,7
