id,block,location,latitude,longitude,river_km,orientation,exposition,construction_year,survey_date.2017,botanist.2017,opensoil_cover.2017,moss_cover.2017,litter_cover.2017,vegetation_cover.2017,vegetation_height.2017,calciumcarbonat,c_organic,n_total_ratio,cn_ratio,ph,sand,silt,clay,phosphorus,potassium,magnesium,topsoil_depth,sceleton_ratio_volume
01_m,1,Parkstetten-Reibersdorf,5418661,4543914,2318,water,south,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,5,2,35,80,50,35.8,2.108,0.235,9,7.38,38.4,44.2,17.4,4,7,16,22,7
02_m,1,Parkstetten-Reibersdorf,5418670,4543912,2318,land,north,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,1,70,20,80,30,27.4,1.804,0.193,9.3,7.37,48.5,36.5,15,3,6,14,14,40
03_m,2,Parkstetten-Reibersdorf,5418627,4544901,2317,water,south,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,15,10,65,70,40,36.2,1.474,0.174,8.5,7.46,45.5,39.3,15.2,1,6,15,11,11
04_m,2,Parkstetten-Reibersdorf,5418639,4544901,2317,land,north,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,20,40,35,40,10,20,1.48,0.142,10.4,7.43,65.3,24.6,10.1,3,6,11,13,47
05_m,3,Oebling,5418126,4545832,2316,water,south,2012,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,20,50,25,60,35,41.4,2.053,0.272,7.5,7.47,25.5,54.8,19.7,5,5,15,17,4
06_m,3,Oebling,5418139,4545833,2316,land,north,2012,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,40,10,40,50,30,45.7,1.579,0.213,7.4,7.44,24.4,56.9,18.7,11,5,14,18,0
07_m,4,Oebling,5418383,4546097,2316,water,east,2012,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,50,20,20,40,20,44.2,1.805,0.242,7.5,7.45,16.2,62.2,21.6,6,6,16,16,0
08_m,4,Oebling,5418387,4546085,2316,land,west,2012,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,70,1,20,40,30,40.3,1.75,0.225,7.8,7.42,30.1,50.8,19.1,10,6,14,17,18
09_m,5,Oebling,5417317,4546913,2314,water,south,2010,NA,Jakob_Huber_Leonardo_Teixeira,5,5,80,45,50,7.8,2.599,0.285,9.1,7.28,24.8,41.2,34,10,7,21,18,8
10_m,5,Oebling,5417329,4546909,2314,land,north,2010,NA,Jakob_Huber_Leonardo_Teixeira,20,0,70,30,50,10.7,2.655,0.293,9.1,7.33,25.3,41.6,33.1,13,11,23,17,8
11_m,6,Oebling,5417431,4546311,2315,water,north,2010,NA,Jakob_Huber_Leonardo_Teixeira,20,40,30,65,NA,1.9,1.887,0.186,10.1,7.18,54.3,32.3,13.4,6,8,14,15,11
12_m,6,Oebling,5417420,4546311,2315,land,south,2010,NA,Jakob_Huber_Leonardo_Teixeira,70,1,25,25,60,2.1,2.37,0.245,9.7,7.26,47.4,29.9,22.7,20,13,21,15,18
13_m,7,Oebling,5418241,4547375,2314,water,north,2006,NA,Jakob_Huber_Leonardo_Teixeira,5,35,50,75,40,0.2,1.034,0.109,9.5,6.16,42.4,36.4,21.2,23,18,17,26,3
14_m,7,Oebling,5418234,4547375,2314,land,south,2006,NA,Jakob_Huber_Leonardo_Teixeira,30,30,30,40,50,1,1.309,0.132,9.9,7.18,42.3,36.1,21.6,32,17,18,15,4
15_m,8,Oebling,5416962,4547130,2314,water,west,2006,NA,Jakob_Huber_Leonardo_Teixeira,5,15,70,40,60,3.6,2.356,0.233,10.1,7.22,49.4,32,18.6,33,35,17,10,13
16_m,8,Oebling,5416962,4547137,2314,land,east,2006,NA,Jakob_Huber_Leonardo_Teixeira,20,15,55,35,50,10.9,2.486,0.258,9.6,7.32,41.2,35.9,22.9,5,12,17,14,17
17_o,9,Hermannsdorf-Ainbrach,5417213,4551938,2308,water,north,2016,NA,Jakob_Huber,50,2,40,50,35,22.9,1.634,0.19,8.6,7.45,31.2,46.8,22,9,8,15,20,9
18_m,9,Hermannsdorf-Ainbrach,5417206,4551933,2308,land,south,2016,NA,Jakob_Huber,40,0,50,30,15,21.4,2.121,0.234,9.1,7.41,36.7,43.3,20,2,7,15,15,17
19_o,10,Hermannsdorf-Ainbrach,5416931,4552292,2308,water,north,2016,NA,Jakob_Huber,10,0,80,60,10,16.8,1.204,0.134,9,7.41,31.5,45.8,22.7,19,14,14,15,4
20_m,10,Hermannsdorf-Ainbrach,5416920,4552285,2308,land,south,2016,NA,Jakob_Huber,60,0,30,40,35,24.5,2.08,0.228,9.1,7.38,37.8,42.5,19.7,3,7,16,20,15
21_m,11,Pfelling,5415944,4555538,2305,water,south,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,10,0,80,90,35,4.2,2.446,0.251,9.7,7.31,27.2,46.4,26.4,1,6,34,23,0
22_m,11,Pfelling,5415946,4555531,2305,land,north,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,10,60,20,30,40,6.5,1.786,0.19,9.4,7.35,41.9,38.9,19.2,2,8,21,8,12
23_m,12,Pfelling,5416175,4555683,2305,water,south,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,45,0,45,50,45,7.4,1.969,0.199,9.9,7.26,55.8,28.9,15.3,3,7,16,12,21
24_m,12,Pfelling,5416180,4555677,2305,land,north,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,5,50,30,50,40,12.5,2.155,0.219,9.8,7.27,51.4,32.5,16.1,2,8,16,9,20
25_m,13,Irlbach,5412276,4554430,2301,water,west,2011,NA,Jakob_Huber_Simon_Reith,20,20,50,60,40,5.2,1.73,0.164,10.5,7.33,53.8,31.6,14.6,2,9,13,8,38
26_m,13,Irlbach,5412516,4554441,2301,land,east,2011,NA,Jakob_Huber_Simon_Reith,40,5,40,50,30,6.4,2.686,0.268,10,7.31,42.2,37.7,20.1,7,7,12,20,17
27_m,14,Irlbach,5412036,4554294,2301,water,north,2011,NA,Jakob_Huber_Simon_Reith,45,5,40,50,30,9.1,3.238,0.305,10.6,7.3,16.3,58.4,25.3,13,8,15,15,5
28_m,14,Irlbach,5412027,4554292,2301,land,south,2011,NA,Jakob_Huber_Simon_Reith,70,0,20,40,30,10.3,2.916,0.286,10.2,7.35,15,60.2,24.8,15,7,16,20,14
29_m,15,Mariaposching,5410119,4559495,2297,water,south,2010,NA,Jakob_Huber,50,15,25,70,45,5.6,1.439,0.148,9.7,7.28,29.3,44.5,26.2,29,14,17,20,8
30_m,15,Mariaposching,5410132,4559494,2297,land,north,2010,NA,Jakob_Huber,40,20,30,60,30,13.9,1.26,0.133,9.5,7.38,51.6,31.5,16.9,2,6,15,15,33
31_m,16,Irlbach,5412620,4555638,2301,land,west,2010,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,5,5,85,70,10,28.4,1.688,0.188,9,7.36,31.6,52,16.4,3,4,13,16,18
32_m,16,Irlbach,5412622,4555647,2301,land,east,2010,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,40,25,25,40,30,0.3,1.03,0.096,10.7,6.94,32.2,47.3,20.5,5,6,17,18,6
33_m,17,Irlbach,5412669,4555707,2301,land,north,2003,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,70,0,20,40,10,30,2.135,0.226,9.4,7.42,22.9,51.3,25.8,3,6,20,20,12
34_o,17,Irlbach,5412659,4555704,2301,land,south,2003,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,10,10,70,70,30,21,2.236,0.234,9.6,7.33,47.1,36.3,16.6,4,7,15,32,33
35_m,18,Schwarzach-Sulzbach,5412604,4561890,2293,water,east,2016,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,50,0,5,90,35,18,0.848,0.092,9.2,7.52,48.2,31.5,20.3,30,14,17,30,0
36_m,18,Schwarzach-Sulzbach,5412599,4561878,2293,land,west,2016,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,70,0,10,65,80,9.9,2.511,0.262,9.6,7.36,31.5,40.5,28,1,15,22,22,8
37_m,19,Schwarzach-Sulzbach,5412141,4562153,2293,land,south,2016,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,70,0,10,50,35,6,1.633,0.188,8.7,7.45,29.3,37.4,33.3,32,9,26,30,0
38_m,19,Schwarzach-Sulzbach,5412151,4562148,2293,water,north,2016,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,15,0,60,80,45,18,1.631,0.179,9.1,7.47,46.2,33.1,20.7,9,9,17,20,14
39_m,20,Natternberg,5411096,4567747,2287,water,north,2013,NA,Jakob_Huber_Jakob_Strak,0,20,40,100,45,28.9,3.063,0.375,8.2,7.42,10.4,54.4,35.2,9,8,24,30,0
40_m,20,Natternberg,5411081,4567737,2287,land,south,2013,NA,Jakob_Huber_Jakob_Strak,60,2,20,70,50,28.9,1.478,0.184,8,7.47,50.1,34.8,15.1,1,5,14,25,31
41_m,21,Natternberg,5410515,4568793,2286,water,north,2013,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,5,0,10,100,40,29.2,1.83,0.213,8.6,7.37,23.2,49.2,27.6,9,6,22,30,8
42_m,21,Natternberg,5410497,4568788,2286,land,south,2013,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,5,0,75,85,60,26.5,2.335,0.289,8.1,7.35,16.8,49.5,33.7,4,5,23,25,4
43_m,22,Deggendorf_West,5411573,4568255,2287,water,south,2007,NA,Jakob_Huber_Jakob_Strak,30,0,60,50,40,31.8,2.238,0.249,9,7.37,19.1,53.2,27.7,3,5,23,20,0
44_m,22,Deggendorf_West,5411582,4568262,2287,land,north,2007,NA,Jakob_Huber_Jakob_Strak,0,35,60,30,35,36.2,1.614,0.178,9.1,7.34,41.1,43.2,15.7,1,6,12,10,13
45_m,23,Deggendorf_West,5411360,4568677,2286,water,south,2007,NA,Jakob_Huber_Jakob_Strak,20,0,70,60,40,36.1,2.093,0.224,9.3,7.37,27,51.6,21.4,5,9,19,18,0
46_m,23,Deggendorf_West,5411372,4568682,2286,land,north,2007,NA,Jakob_Huber_Jakob_Strak,0,40,50,50,35,34.7,1.696,0.191,8.9,7.38,43.2,41.9,14.9,3,7,14,25,12
47_m,24,Fischerdorf,5407024,4569502,2282,water,east,2016,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,NA,NA,NA,NA,NA,43.2,1.23,0.156,7.9,7.45,22.4,59.8,17.8,19,12,12,21,0
48_m,24,Fischerdorf,5407028,4569491,2282,water,west,2016,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,70,1,20,50,70,58.8,2.759,0.388,7.1,7.34,11.6,66.2,22.2,2,7,18,17,0
49_m,25,Fischerdorf,5408483,4570425,2282,water,east,2016,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,10,5,65,100,65,43.4,2.371,0.324,7.3,7.38,11.1,61.4,27.5,2,7,20,19,0
50_m,25,Fischerdorf,5408488,4570411,2282,land,west,2016,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,10,40,40,90,60,53,5.531,0.748,7.4,7.24,11,63.7,25.3,6,12,22,15,0
51_m,26,Stoegermuehlbach,5404855,4571060,2278,water,south,2002,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,20,5,70,40,60,49.4,2.413,0.287,8.4,7.29,29,53.9,17.1,6,9,16,20,16
52_m,26,Stoegermuehlbach,5404864,4571061,2278,land,north,2002,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,5,80,10,30,30,48.9,2.654,0.311,8.5,7.27,32.3,51,16.7,10,10,18,10,15
53_m,27,Stoegermuehlbach,5404794,4570793,2278,water,south,2002,NA,Jakob_Huber,25,3,70,NA,90,43.4,3.146,0.367,8.6,7.45,14.9,58.3,26.8,1,6,23,22,0
54_m,27,Stoegermuehlbach,5404803,4570789,2278,land,north,2002,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,15,20,55,40,50,43,3.18,0.37,8.6,7.41,18.8,56.5,24.7,1,8,24,10,0
55_m,28,Hofkirchen,5393648,4582311,2256,water,south,2012,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,80,0,15,40,75,11.6,1.984,0.203,9.8,7.29,43.9,34.9,21.2,54,20,24,21,0
56_m,28,Hofkirchen,5393656,4582309,2256,land,north,2012,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,10,40,40,70,70,15.7,1.706,0.179,9.5,7.3,43,36.5,20.5,39,10,21,15,0
57_o,29,Saubach,5410170,4569880,2285,water,north,2006,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,5,20,60,60,15,37.4,2.071,0.233,8.9,7.35,33.5,48,18.5,4,15,15,25,24
58_m,29,Saubach,5410157,4569876,2285,land,south,2006,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,5,30,50,80,50,36.8,2.793,0.323,8.6,7.32,25.6,51,23.4,4,14,18,30,39
59_m,30,Hofkirchen,5394403,4582207,2257,water,west,2012,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,10,5,70,90,100,33.4,2.042,0.243,8.4,7.37,34,47.2,18.8,5,14,14,28,0
60_m,30,Hofkirchen,5394404,4582214,2257,land,east,2012,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,30,5,60,30,20,27.7,2.342,0.257,9.1,7.37,39,42.5,18.5,13,13,14,10,13
61_o,31,Muehlham-Ruckasing,5398153,4575179,2269,water,north,2007,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,40,10,40,70,10,23.1,1.499,0.177,8.5,7.37,28,54.2,17.8,3,7,12,16,20
62_m,31,Muehlham-Ruckasing,5398141,4575175,2269,land,south,2007,NA,Jakob_Huber,5.5,0,5,55,35,30.4,1.555,0.157,9.9,7.41,45.5,43.8,10.7,1,13,10,12,45
63_m,32,Parkstetten-Reibersdorf,5418240,4543373,2319,water,south,2008,NA,Jakob_Huber_Jakob_Strak,15,3,50,80,40,36.6,1.8,0.218,8.3,7.42,45.4,38.6,16,4,7,12,20,9
64_m,32,Parkstetten-Reibersdorf,5418247,4543362,2319,land,north,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,10,80,5,20,35,8.5,0.463,0.043,10.8,7.48,90.8,6.3,2.9,1,4,5,15,49
65_m,33,Stoegermuehlbach,5405220,4572285,2278,land,south,2002,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,0,5,85,100,100,31.1,2.146,0.24,8.9,7.31,49.4,36.5,14.1,3,16,14,25,28
66_m,33,Stoegermuehlbach,5405229,4572279,2278,water,north,2002,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,5,0,85,100,90,26.3,2.228,0.244,9.1,7.35,55.7,31.8,12.5,4,14,14,30,34
67_o,34,Pfelling,5415826,4555183,2305,water,south,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,50,5,30,60,50,19.9,2.626,0.306,8.6,7.3,37.3,42,20.7,5,7,18,24,3
68_m,34,Pfelling,5415833,4555191,2305,land,north,2008,NA,Jakob_Huber_Simon_Reith_Jakob_Strak,10,60,20,30,30,14.2,1.903,0.201,9.5,7.34,51.5,32.7,15.8,3,6,15,13,14
69_m,35,Irlbach,5412682,4554993,2301,water,north,2011,NA,Jakob_Huber,20,40,30,60,30,7.9,1.677,0.167,10,7.32,57.2,28.4,14.4,1,6,11,15,23
70_m,35,Irlbach,5412675,4554990,2301,land,south,2011,NA,Jakob_Huber,40,10,40,40,40,9.3,1.649,0.17,9.7,7.45,46.6,35.7,17.7,3,8,13,15,31
