name,taxonomic_status,accepted_name,accepted_name_url,accepted_family,lifeform,trait_value_1.6.2,trait_value_1.6.3,cv_1.6.2,cv_1.6.3,n_1.6.2,n_1.6.3
Aconitum_lycoctonum,Accepted,Aconitum lycoctonum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:707564-1,Ranunculaceae,perannual,2,NA,0.074,NA,2,NA
Aegopodium_podagraria,Accepted,Aegopodium podagraria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5849-2,Apiaceae,perannual,1,0.479,0.042,0.233,6,2
Agrostis_gigantea,Accepted,Agrostis gigantea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:385783-1,Poaceae,perannual,1.5,0.828333333333333,0.205,0.233,8,3
Angelica_sylvestris,Accepted,Angelica sylvestris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837777-1,Apiaceae,perannual,2,0.783,0.143,NA,7,1
Aquilegia_atrata,Accepted,Aquilegia atrata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:708802-1,Ranunculaceae,perannual,0.6,0.4,NA,NA,1,1
Asarum_europaeum,Accepted,Asarum europaeum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302682-2,Aristolochiaceae,perannual,0.1,0.075,0,NA,4,1
Calamagrostis_epigejos,Accepted,Calamagrostis epigejos,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:394433-1,Poaceae,perannual,2,1,0.193,NA,5,1
Cardamine_impatiens,Accepted,Cardamine impatiens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280391-1,Brassicaceae,perannual_annual,0.85,0.379,0.17,0.078,6,2
Cardamine_trifolia,Accepted,Cardamine trifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280715-1,Brassicaceae,perannual,0.3,0.175,NA,NA,1,1
Carduus_personata,Accepted,Carduus personata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188942-1,Asteraceae,perannual,1.6,0.825,0.326,NA,2,1
Carex_acutiformis,Accepted,Carex acutiformis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298427-1,Cyperaceae,perannual,1.2,0.75,0.163,NA,4,1
Carex_alba,Accepted,Carex alba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30265209-2,Cyperaceae,perannual,0.25,0.1,0,NA,2,1
Carex_digitata,Accepted,Carex digitata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:299459-1,Cyperaceae,perannual,0.3,0.1,0,NA,3,1
Carex_pendula,Accepted,Carex pendula,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301492-1,Cyperaceae,perannual,2.5,0.5,0.304,NA,5,1
Carex_sylvatica,Accepted,Carex sylvatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302516-1,Cyperaceae,perannual,1,0.425,0.269,NA,6,1
Cicuta_virosa,Accepted,Cicuta virosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:840414-1,Apiaceae,perannual,1.5,0.7625,0.168,0.162,4,2
Cirsium_arvense,Accepted,Cirsium arvense,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195034-1,Asteraceae,perannual,1.5,0.720666666666667,0.183,0.183,13,3
Cirsium_oleraceum,Accepted,Cirsium oleraceum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195767-1,Asteraceae,perannual,1.5,0.8,0,NA,3,1
Convallaria_majalis,Accepted,Convallaria majalis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:533487-1,Asparagaceae,perannual,0.3,0.21,0.182,0.247,4,3
Corydalis_cava,Accepted,Corydalis cava,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:672129-1,Papaveraceae,perannual,0.3,0.158,0.105,NA,4,1
Dactylis_glomerata,Accepted,Dactylis glomerata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1,Poaceae,perannual,1.4,0.704666666666667,0.225,0.328,15,3
Deschampsia_cespitosa,Accepted,Deschampsia cespitosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397953-1,Poaceae,perannual,1.5,0.515666666666667,0.414,0.488,26,3
Dipsacus_pilosus,Accepted,Dipsacus pilosus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319286-1,Caprifoliaceae,perannual,1.5,0.55,0.133,NA,3,1
Dryopteris_carthusiana,Accepted,Dryopteris carthusiana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17390210-1,Dryopteridaceae,perannual,0.8,0.375,0.145,NA,3,1
Equisetum_arvense,Accepted,Equisetum arvense,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300073-2,Equisetaceae,perannual,0.8,0.2975,0.445,0.131,8,2
Equisetum_hyemale,Accepted,Equisetum hyemale,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:92939-2,Equisetaceae,perannual,1,0.95,0.374,NA,3,1
Eupatorium_cannabinum,Accepted,Eupatorium cannabinum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:205581-1,Asteraceae,perannual,2,1,0.154,NA,4,1
Filipendula_ulmaria,Accepted,Filipendula ulmaria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724943-1,Rosaceae,perannual,2,0.896,0.344,0.164,9,2
Galium_aparine,Accepted,Galium aparine,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30007294-2,Rubiaceae,annual,2,0.559333333333333,0.446,0.448,7,3
Geranium_phaeum,Accepted,Geranium phaeum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:373470-1,Geraniaceae,perannual,0.7,0.392,0.072,NA,5,1
Geranium_robertianum,Accepted,Geranium robertianum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:109269-2,Geraniaceae,perannual_annual,0.6,0.2585,0.178,0.227,7,2
Geum_urbanum,Accepted,Geum urbanum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:725399-1,Rosaceae,perannual,1,0.3835,0.263,0.061,6,2
Glechoma_hederacea,Accepted,Glechoma hederacea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:447338-1,Lamiaceae,perannual,0.6,0.288,0.399,NA,4,1
Gymnadenia_odoratissima,Accepted,Gymnadenia odoratissima,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:636568-1,Orchidaceae,perannual,0.5,0.15,0.354,NA,2,1
Holcus_lanatus,Accepted,Holcus lanatus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:405034-1,Poaceae,perannual,1.1,0.675,0.151,0.501,10,3
Holcus_mollis,Accepted,Holcus mollis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:123530-2,Poaceae,perannual,1,0.4125,0.042,0.471,6,2
Humulus_lupulus,Accepted,Humulus lupulus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:303502-2,Cannabaceae,perannual,8,5.5,0.397,NA,4,1
Hypericum_hirsutum,Accepted,Hypericum hirsutum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433492-1,Hypericaceae,perannual,1,0.575,0.148,NA,4,1
Hypericum_tetrapterum,Accepted,Hypericum tetrapterum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433905-1,Hypericaceae,perannual,1,0.454,0.224,0.299,6,2
Knautia_dipsacifolia,Accepted,Knautia dipsacifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319367-1,Caprifoliaceae,perannual,1,0.4,0.289,NA,4,1
Lamium_maculatum,Accepted,Lamium maculatum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:448886-1,Lamiaceae,perannual,0.6,0.375,0.087,NA,4,1
Lathyrus_pratensis,Accepted,Lathyrus pratensis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501954-1,Fabaceae,perannual,1.2,0.567,0.316,NA,6,1
Leucanthemum_vulgare,Accepted,Leucanthemum vulgare,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30296198-2,Asteraceae,perannual,1,0.50975,0.2,0.39,8,4
Lycopus_europaeus,Accepted,Lycopus europaeus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:449641-1,Lamiaceae,perannual,1,0.6085,0.102,0.096,7,2
Lysimachia_vulgaris,Accepted,Lysimachia vulgaris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:701414-1,Primulaceae,perannual,1.5,0.898,0.172,0.003,6,2
Melica_nutans,Accepted,Melica nutans,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:408086-1,Poaceae,perannual,0.9,0.225,0.222,NA,4,1
Mentha_aquatica,Accepted,Mentha aquatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:450192-1,Lamiaceae,perannual,1,0.383,0.091,NA,5,1
Mercurialis_perennis,Accepted,Mercurialis perennis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:352211-1,Euphorbiaceae,perannual,0.4,0.217,0.202,NA,2,1
Molinia_arundinacea,Accepted,Molinia arundinacea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:408807-1,Poaceae,perannual,2,NA,NA,NA,1,NA
Molinia_caerulea,Accepted,Molinia caerulea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:98382-3,Poaceae,perannual,1.2,0.788,0.26,NA,3,1
Neottia_ovata,Accepted,Neottia ovata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:645363-1,Orchidaceae,perannual,0.6,0.14,0.148,NA,3,1
Petasites_hybridus,Accepted,Petasites hybridus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:237374-1,Asteraceae,perannual,1.2,0.575,0.529,NA,3,1
Phalaris_arundinacea,Accepted,Phalaris arundinacea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:415571-1,Poaceae,perannual,2,1.41666666666667,0.125,0.073,11,3
Phragmites_australis,Accepted,Phragmites australis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30337627-2,Poaceae,perannual,9,3.075,0.497,0.28,13,4
Pimpinella_major,Accepted,Pimpinella major,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:846901-1,Apiaceae,perannual,1,0.658,0.344,NA,5,1
Pleurospermum_austriacum,Accepted,Pleurospermum austriacum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:847217-1,Apiaceae,perannual,1.5,0.825,0,NA,2,1
Poa_compressa,Accepted,Poa compressa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:204172-2,Poaceae,perannual,0.8,0.415,0.271,0.43,5,3
Poa_palustris,Accepted,Poa palustris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:204398-2,Poaceae,perannual,1.5,0.772666666666667,0.442,0.585,4,3
Prunella_vulgaris,Accepted,Prunella vulgaris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:455176-1,Lamiaceae,perannual,0.6,0.251,0.324,0.727,10,3
Pulmonaria_officinalis,Accepted,Pulmonaria officinalis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:120402-1,Boraginaceae,perannual,0.3,0.15,0.102,NA,3,1
Ranunculus_repens,Accepted,Ranunculus repens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:713678-1,Ranunculaceae,perannual,0.7,0.426,0.382,0.611,8,2
Rubus_caesius,Accepted,Rubus caesius,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:735608-1,Rosaceae,perannual,1.5,0.9875,0.716,0.734,4,2
Solidago_gigantea,Accepted,Solidago gigantea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249575-1,Asteraceae,perannual,2.5,1.9375,0.318,0.411,4,2
Stachys_sylvatica,Accepted,Stachys sylvatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:460020-1,Lamiaceae,perannual,1.2,0.646,0.219,0.337,6,2
Symphytum_officinale,Accepted,Symphytum officinale,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:120815-1,Boraginaceae,perannual,1.5,0.5835,0.178,0.04,8,2
Thalictrum_aquilegiifolium,Accepted,Thalictrum aquilegiifolium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:714234-1,Ranunculaceae,perannual,2,0.675,0.328,NA,4,1
Valeriana_dioica,Accepted,Valeriana dioica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30028947-2,Caprifoliaceae,perannual,0.4,0.18,0.422,NA,4,1
Vinca_minor,Accepted,Vinca minor,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:82701-1,Apocynaceae,perannual,0.3,0.339,0.707,1.039,2,2
Viola_odorata,Accepted,Viola odorata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:868828-1,Violaceae,perannual,0.4,0.192666666666667,0.504,0.463,9,3
