name_submitted,taxonomic_status,accepted_name,accepted_name_url,accepted_family,trait_value_1.2.2,trait_value_1.5.1,trait_value_1.6.3,trait_value_3.2.3,trait_value_3.3.1,trait_value_3.6.1,trait_value_3.7.1,trait_value_3.21.1,trait_value_4.1.3,trait_value_4.5.1,agreement_1.2.2,agreement_1.5.1,agreement_3.3.1,agreement_3.6.1,agreement_3.7.1,agreement_3.21.1,agreement_4.5.1,cv_1.6.3,cv_3.2.3,cv_4.1.3,n_1.2.2,n_1.5.1,n_1.6.3,n_3.2.3,n_3.3.1,n_3.6.1,n_3.7.1,n_3.21.1,n_4.1.3,n_4.5.1
Acer_pseudoplatanus,Accepted,Acer pseudoplatanus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781462-1,Sapindaceae,tree,independent,21.9333333333333,0.0946594776,anemochorous,biotic,NA,NA,166.8,no,1,1,1,1,NA,NA,1,0.204,0.198,NA,2,6,3,5,2,2,NA,NA,1,1
Alnus_incana,Accepted,Alnus incana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30106706-2,Betulaceae,NA,independent,8.532,7.647178e-4,anemochorous,abiotic,Mar,NA,205.15,NA,NA,1,1,1,0.667,NA,NA,0.423,0.504,NA,NA,4,5,10,3,3,3,NA,1,NA
Cornus_sanguinea,Accepted,Cornus sanguinea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:271661-1,Cornaceae,shrub,independent,2.219,0.0745273428,zoochorous,biotic,NA,NA,173.78,NA,1,1,1,1,NA,NA,NA,NA,0.238,NA,1,4,1,5,2,2,NA,NA,1,NA
Crataegus_monogyna,Accepted,Crataegus monogyna,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:723820-1,Rosaceae,tree,independent,5.66166666666667,0.0901174608333333,zoochorous,biotic,NA,white,113.36,no,0.75,1,1,1,NA,1,1,0.119,0.739,NA,2,7,3,6,4,3,NA,1,1,1
Euonymus_europaeus,Accepted,Euonymus europaeus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160876-1,Celastraceae,NA,independent,3.562,0.0441878146666667,zoochorous,biotic,May,NA,146.36,NA,NA,1,1,1,1,NA,NA,NA,0.183,NA,NA,2,1,3,3,2,2,NA,1,NA
Fraxinus_excelsior,Accepted,Fraxinus excelsior,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:609009-1,Oleaceae,tree,independent,28.6,0.064259159,anemochorous,abiotic,Apr,NA,136.51,NA,1,1,1,1,0.75,NA,NA,NA,0.113,NA,2,7,1,4,2,2,4,NA,1,NA
Lonicera_xylosteum,Accepted,Lonicera xylosteum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:149194-1,Caprifoliaceae,shrub,independent,1.873,0.0576826666666667,zoochorous,biotic,May,NA,241.09,NA,1,1,1,1,1,NA,NA,NA,1.597,NA,1,3,1,3,2,2,3,NA,1,NA
Picea_abies,Accepted,Picea abies,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:262609-1,Pinaceae,tree,independent,45,0.0174878858,anemochorous,abiotic,May,NA,68.46,no,1,1,0.667,1,1,NA,1,0.157,1.375,NA,1,3,2,5,3,2,3,NA,1,1
Prunus_padus,Accepted,Prunus padus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:730076-1,Rosaceae,tree,independent,8.55,0.09524928575,zoochorous,biotic,May,NA,216.82,NA,0.75,1,1,1,0.667,NA,NA,0.091,0.434,NA,2,4,2,4,3,2,3,NA,1,NA
Salix_alba,Accepted,Salix alba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:776974-1,Salicaceae,tree,independent,19.04175,1.2e-4,NA,biotic,Apr,NA,118.94,no,1,1,NA,1,0.75,NA,1,0.175,0,NA,2,8,4,2,NA,3,4,NA,1,1
Salix_alba_x_eleagnos,Accepted,Salix alba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:776974-1,Salicaceae,tree,independent,19.04175,1.2e-4,NA,biotic,Apr,NA,118.94,no,1,1,NA,1,0.75,NA,1,0.175,0,NA,2,8,4,2,NA,3,4,NA,1,1
Salix_eleagnos,Accepted,Salix eleagnos,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:777510-1,Salicaceae,tree,independent,9.69066666666667,2.5e-4,NA,biotic,NA,NA,NA,no,1,1,NA,1,NA,NA,1,0.921,0,NA,1,2,3,2,NA,2,NA,NA,NA,1
Ulmus_glabra,Accepted,Ulmus glabra,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302887-2,Ulmaceae,tree,independent,35,0.011879125,anemochorous,abiotic,Mar,NA,219.53,NA,1,1,1,1,0.75,NA,NA,NA,0.199,NA,1,4,1,4,1,2,4,NA,1,NA
Corylus_avellana,Accepted,Corylus avellana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:295446-1,Betulaceae,NA,independent,2.833,1.06265125,unspecialized,abiotic,NA,NA,194.4,NA,NA,1,1,1,NA,NA,NA,NA,0.209,NA,NA,4,1,3,1,3,NA,NA,1,NA
Daphne_mezereum,Accepted,Daphne mezereum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:831294-1,Thymelaeaceae,NA,independent,0.762,0.0672833335,zoochorous,biotic,Mar,NA,289.16,NA,NA,1,1,1,0.667,NA,NA,NA,0.491,NA,NA,2,1,2,1,2,3,NA,1,NA
Ligustrum_vulgare,Accepted,Ligustrum vulgare,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:610130-1,Oleaceae,shrub,independent,3.73333333333333,0.025908389,zoochorous,biotic,Jun,white,111.5,no,1,1,1,1,0.75,1,1,0.067,0.249,NA,1,9,3,4,2,2,4,1,1,1
Salix_daphnoides,Accepted,Salix daphnoides,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:777425-1,Salicaceae,NA,independent,6.5,1.4e-4,anemochorous,biotic,Mar,NA,106.38,NA,NA,1,1,1,1,NA,NA,NA,0,NA,NA,2,1,2,1,1,2,NA,1,NA
Salix_purpurea,Accepted,Salix purpurea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301321-2,Salicaceae,NA,independent,2.167,9e-5,anemochorous,biotic,Mar,NA,94.97,NA,NA,1,1,1,0.667,NA,NA,NA,0,NA,NA,6,1,2,1,3,3,NA,1,NA
Sambucus_nigra,Accepted,Sambucus nigra,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30122169-2,Viburnaceae,NA,independent,6.1335,0.013038,zoochorous,biotic,NA,NA,196.11,no,NA,1,1,1,NA,NA,1,0.008,1.309,NA,NA,10,2,5,3,3,NA,NA,1,1
Shrub_1,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shrub_2,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Viburnum_lantana,Accepted,Viburnum lantana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:326265-2,Viburnaceae,NA,independent,3.225,0.0407194375,zoochorous,biotic,May,NA,155.65,NA,NA,1,1,1,0.667,NA,NA,0.23,0.223,NA,NA,1,2,4,2,2,3,NA,1,NA
Aconitum_lycoctonum,Accepted,Aconitum lycoctonum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:707564-1,Ranunculaceae,forb,NA,NA,0.003258,NA,biotic,NA,NA,225.9,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA
Aegopodium_podagraria,Accepted,Aegopodium podagraria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5849-2,Apiaceae,forb,independent,0.479,0.00188225,autochorous,biotic,Jun,NA,287.97,NA,1,1,1,1,0.667,NA,NA,0.233,0.211,NA,1,4,2,2,1,3,3,NA,1,NA
Agrostis_gigantea,Accepted,Agrostis gigantea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:385783-1,Poaceae,NA,independent,0.828333333333333,8.31666666666667e-5,NA,abiotic,Jun,NA,227.84,NA,NA,1,NA,1,1,NA,NA,0.233,0.11,NA,NA,15,3,3,NA,3,2,NA,1,NA
Agrostis_stolonifera_agg,Accepted,Agrostis stolonifera,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:386353-1,Poaceae,NA,independent,0.605,6.16e-5,NA,abiotic,NA,NA,313.29,no,NA,1,NA,1,NA,NA,1,0.012,0.194,NA,NA,16,2,5,NA,4,NA,NA,1,1
Angelica_sylvestris,Accepted,Angelica sylvestris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837777-1,Apiaceae,forb,independent,0.783,0.002702,NA,biotic,Jul,NA,269.32,NA,1,1,NA,1,0.75,NA,NA,NA,0.018,NA,1,4,1,2,NA,2,4,NA,1,NA
Aquilegia_atrata,Accepted,Aquilegia atrata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:708802-1,Ranunculaceae,herb,independent,0.4,0.0013625,autochorous,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,0.117,NA,1,2,1,2,1,NA,NA,NA,NA,NA
Asarum_europaeum,Accepted,Asarum europaeum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302682-2,Aristolochiaceae,herb,independent,0.075,0.003301,zoochorous,NA,Mar,NA,266.25,NA,0.667,1,1,NA,0.667,NA,NA,NA,0.06,NA,3,3,1,2,1,NA,3,NA,1,NA
Brachypodium_sylvaticum,Accepted,Brachypodium sylvaticum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393196-1,Poaceae,NA,independent,0.7625,0.0025103055,zoochorous,abiotic,NA,NA,443.43,NA,NA,1,1,1,NA,NA,NA,0.116,0.398,NA,NA,8,2,4,1,4,NA,NA,1,NA
Calamagrostis_epigejos,Accepted,Calamagrostis epigejos,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:394433-1,Poaceae,graminoid,independent,1,7.15e-5,anemochorous,abiotic,Jun,NA,130.48,NA,1,1,1,1,0.667,NA,NA,NA,0.148,NA,1,7,1,2,2,2,3,NA,1,NA
Calamagrostis_varia,Accepted,Calamagrostis varia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:394901-1,Poaceae,graminoid,independent,0.625,1.265e-4,NA,abiotic,Jul,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,0.039,NA,1,3,1,2,NA,1,1,NA,NA,NA
Cardamine_impatiens,Accepted,Cardamine impatiens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280391-1,Brassicaceae,forb,independent,0.379,2.34e-4,autochorous,biotic,May,NA,338,NA,1,1,1,1,0.75,NA,NA,0.078,0.266,NA,1,5,2,2,2,2,4,NA,1,NA
Cardamine_trifolia,Accepted,Cardamine trifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:280715-1,Brassicaceae,herb,independent,0.175,0.001643,autochorous,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,NA,NA,NA,NA,NA
Carduus_personata,Accepted,Carduus personata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188942-1,Asteraceae,herb,independent,0.825,0.001802,NA,biotic,Jul,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,3,1,1,1,NA,1,2,NA,NA,NA
Carex_acutiformis,Accepted,Carex acutiformis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298427-1,Cyperaceae,graminoid,independent,0.75,9.155e-4,NA,abiotic,May,NA,160,NA,1,1,NA,1,1,NA,NA,NA,0.27,NA,1,5,1,2,NA,2,1,NA,1,NA
Carex_alba,Accepted,Carex alba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30265209-2,Cyperaceae,NA,independent,0.1,0.00198925,NA,NA,NA,NA,239.4,NA,NA,1,NA,NA,NA,NA,NA,NA,0.015,NA,NA,4,1,2,NA,NA,NA,NA,1,NA
Carex_brizoides,Accepted,Carex brizoides,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298947-1,Cyperaceae,graminoid,independent,0.5,3e-4,NA,abiotic,NA,NA,248.25,NA,1,1,NA,1,NA,NA,NA,NA,0.071,NA,2,3,1,2,NA,2,NA,NA,1,NA
Carex_digitata,Accepted,Carex digitata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:299459-1,Cyperaceae,graminoid,independent,0.1,0.0012675,NA,abiotic,Apr,NA,303.1,NA,1,1,NA,1,1,NA,NA,NA,0.198,NA,2,4,1,2,NA,2,1,NA,1,NA
Carex_flacca,Accepted,Carex flacca,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:299756-1,Cyperaceae,NA,independent,0.2875,9.361365e-4,unspecialized,abiotic,May,NA,152.11,NA,NA,1,1,1,1,NA,NA,0.061,0.096,NA,NA,6,2,2,1,3,2,NA,1,NA
Carex_ornithopoda_sstr,Accepted,Carex ornithopoda,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301357-1,Cyperaceae,herb,independent,0.04,7.975e-4,NA,abiotic,NA,NA,305.8,NA,1,1,NA,1,NA,NA,NA,NA,0.066,NA,3,2,1,2,NA,1,NA,NA,1,NA
Carex_paniculata,Accepted,Carex paniculata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30075588-2,Cyperaceae,graminoid,independent,0.525,7.81e-4,unspecialized,abiotic,NA,brown,159.82,no,1,1,1,1,NA,1,1,NA,0.053,NA,1,4,1,2,1,2,NA,1,1,1
Carex_pendula,Accepted,Carex pendula,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:301492-1,Cyperaceae,graminoid,independent,0.5,6.67444333333333e-4,hydrochorous,abiotic,May,NA,133,NA,1,1,1,1,1,NA,NA,NA,0.041,NA,1,5,1,3,1,3,1,NA,1,NA
Carex_sylvatica,Accepted,Carex sylvatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302516-1,Cyperaceae,graminoid,independent,0.425,0.0015385,NA,abiotic,May,NA,309,NA,1,1,NA,1,1,NA,NA,NA,0.091,NA,1,5,1,2,NA,2,2,NA,1,NA
Chaerophyllum_hirsutum_sstr,Accepted,Chaerophyllum hirsutum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:840199-1,Apiaceae,herb,independent,0.575,0.003179,zoochorous,biotic,NA,NA,279.05,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,2,3,1,1,1,1,NA,NA,1,NA
Cicuta_virosa,Accepted,Cicuta virosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:840414-1,Apiaceae,forb,independent,0.7625,0.00126733333333333,NA,biotic,Jun,NA,209.6,NA,1,1,NA,1,0.667,NA,NA,0.162,0.456,NA,1,3,2,3,NA,2,3,NA,1,NA
Cirsium_arvense,Accepted,Cirsium arvense,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195034-1,Asteraceae,NA,independent,0.720666666666667,0.00150064275,anemochorous,biotic,NA,NA,154.02,no,NA,1,1,1,NA,NA,1,0.183,0.28,NA,NA,13,3,4,4,4,NA,NA,1,1
Cirsium_oleraceum,Accepted,Cirsium oleraceum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195767-1,Asteraceae,forb,independent,0.8,0.002592,NA,biotic,Jul,NA,300.78,NA,1,1,NA,1,0.667,NA,NA,NA,NA,NA,1,1,1,1,NA,2,3,NA,1,NA
Clematis_vitalba,Accepted,Clematis vitalba,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319145-2,Ranunculaceae,shrub,independent,20,0.002607,NA,biotic,Jun,NA,242.9,no,1,1,NA,0.667,1,NA,1,NA,0.165,NA,1,3,1,2,NA,3,3,NA,1,1
Convallaria_majalis,Accepted,Convallaria majalis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:533487-1,Asparagaceae,forb,independent,0.21,0.052930611,zoochorous,biotic,May,NA,289.67,NA,1,1,1,1,0.667,NA,NA,0.247,1.236,NA,1,2,3,4,2,2,3,NA,1,NA
Corydalis_cava,Accepted,Corydalis cava,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:672129-1,Papaveraceae,herb,independent,0.158,0.01015,zoochorous,biotic,Mar,NA,504.05,NA,0.8,1,1,1,0.667,NA,NA,NA,0.23,NA,5,3,1,2,2,2,3,NA,1,NA
Dactylis_glomerata,Accepted,Dactylis glomerata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1,Poaceae,NA,independent,0.704666666666667,9.18702666666667e-4,NA,abiotic,NA,NA,247.66,NA,NA,1,NA,1,NA,NA,NA,0.328,0.213,NA,NA,19,3,6,NA,4,NA,NA,1,NA
Deschampsia_cespitosa,Accepted,Deschampsia cespitosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397953-1,Poaceae,NA,independent,0.515666666666667,0.0055817076,anemochorous,abiotic,NA,NA,202.045,no,NA,1,1,1,NA,NA,1,0.488,2.135,0.384,NA,12,3,5,1,3,NA,NA,2,1
Dipsacus_pilosus,Accepted,Dipsacus pilosus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319286-1,Caprifoliaceae,NA,independent,0.55,0.0051415,zoochorous,biotic,Jul,NA,528.7,NA,NA,1,1,1,1,NA,NA,NA,0.017,NA,NA,2,1,2,1,2,3,NA,1,NA
Dryopteris_carthusiana,Accepted,Dryopteris carthusiana,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17390210-1,Dryopteridaceae,forb,independent,0.375,NA,anemochorous,abiotic,Jul,NA,251,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,1,1,3,NA,1,NA
Equisetum_arvense,Accepted,Equisetum arvense,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300073-2,Equisetaceae,forb,independent,0.2975,NA,NA,abiotic,Mar,NA,103.54,NA,1,1,NA,1,0.667,NA,NA,0.131,NA,NA,1,5,2,NA,NA,2,3,NA,1,NA
Equisetum_hyemale,Accepted,Equisetum hyemale,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:92939-2,Equisetaceae,forb,independent,0.95,NA,NA,NA,NA,NA,28.8,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,1,NA
Eupatorium_cannabinum,Accepted,Eupatorium cannabinum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:205581-1,Asteraceae,forb,independent,1,3.048335e-4,anemochorous,biotic,Jul,NA,292.26,NA,1,1,1,1,0.667,NA,NA,NA,0.084,NA,1,4,1,2,1,2,3,NA,1,NA
Fagus_sylvatica,Accepted,Fagus sylvatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:305836-2,Fagaceae,tree,independent,31.071,0.2128102855,NA,abiotic,May,NA,173.92,NA,1,1,NA,1,0.667,NA,NA,NA,0.237,NA,1,4,1,2,NA,2,3,NA,1,NA
Festuca_gigantea,Illegitimate,Patzkea paniculata subsp. paniculata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77173334-1,Poaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Filipendula_ulmaria,Accepted,Filipendula ulmaria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724943-1,Rosaceae,forb,independent,0.896,7.55e-4,NA,biotic,Jun,NA,243,NA,1,1,NA,1,1,NA,NA,0.164,0.009,NA,1,3,2,2,NA,2,3,NA,1,NA
