name_submitted,taxonomic_status,accepted_name,accepted_name_url,accepted_family,trait_value_1.2.2,trait_value_1.5.1,trait_value_1.6.3,trait_value_3.2.3,trait_value_3.3.1,trait_value_3.6.1,trait_value_3.7.1,trait_value_3.21.1,trait_value_4.1.3,trait_value_4.5.1,agreement_1.2.2,agreement_1.5.1,agreement_3.3.1,agreement_3.6.1,agreement_3.7.1,agreement_3.21.1,agreement_4.5.1,cv_1.6.3,cv_3.2.3,cv_4.1.3,n_1.2.2,n_1.5.1,n_1.6.3,n_3.2.3,n_3.3.1,n_3.6.1,n_3.7.1,n_3.21.1,n_4.1.3,n_4.5.1
Galium_aparine,Accepted,Galium aparine,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30007294-2,Rubiaceae,NA,independent,0.559333333333333,0.006411909,zoochorous,biotic,NA,white,346.79,no,NA,1,1,1,NA,1,1,0.448,0.598,NA,NA,16,3,4,2,4,NA,1,1,1
Galium_mollugo_agg,Accepted,Galium mollugo,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750253-1,Rubiaceae,NA,independent,0.7,7.055e-4,unspecialized,biotic,NA,NA,268.76,no,NA,1,1,1,NA,NA,1,0.404,0.009,NA,NA,6,2,4,2,4,NA,NA,1,1
Geranium_phaeum,Accepted,Geranium phaeum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:373470-1,Geraniaceae,herb,independent,0.392,0.00388,NA,biotic,May,NA,343.7,NA,0.667,1,NA,1,1,NA,NA,NA,0.226,NA,3,1,1,2,NA,2,3,NA,1,NA
Geranium_robertianum,Accepted,Geranium robertianum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:109269-2,Geraniaceae,NA,independent,0.2585,0.0014619545,unspecialized,biotic,May,NA,326.83,no,NA,1,1,1,0.75,NA,1,0.227,0.013,NA,NA,8,2,2,1,3,4,NA,1,1
Geum_urbanum,Accepted,Geum urbanum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:725399-1,Rosaceae,forb,independent,0.3835,0.0019582,zoochorous,biotic,May,NA,384.64,NA,1,1,1,1,0.667,NA,NA,0.061,0.022,NA,1,6,2,2,1,2,3,NA,1,NA
Glechoma_hederacea,Accepted,Glechoma hederacea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:447338-1,Lamiaceae,NA,independent,0.288,6.79e-4,zoochorous,biotic,Apr,NA,347.2,NA,NA,1,1,1,0.667,NA,NA,NA,0.028,NA,NA,7,1,3,1,3,3,NA,1,NA
Gymnadenia_odoratissima,Accepted,Gymnadenia odoratissima,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:636568-1,Orchidaceae,herb,independent,0.15,NA,anemochorous,biotic,Jun,NA,221.7,NA,1,1,1,1,1,NA,NA,NA,NA,NA,3,3,1,NA,2,1,2,NA,1,NA
Holcus_lanatus,Accepted,Holcus lanatus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:405034-1,Poaceae,NA,independent,0.675,3.3799725e-4,NA,abiotic,NA,NA,340.36,no,NA,1,NA,1,NA,NA,1,0.501,0.166,NA,NA,16,3,4,NA,4,NA,NA,1,1
Holcus_mollis,Accepted,Holcus mollis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:123530-2,Poaceae,graminoid,independent,0.4125,6.72e-4,NA,abiotic,Jun,NA,402.7,NA,1,1,NA,1,0.667,NA,NA,0.471,0.69,NA,1,6,2,2,NA,3,3,NA,1,NA
Humulus_lupulus,Accepted,Humulus lupulus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:303502-2,Cannabaceae,forb,independent,5.5,0.0036835,anemochorous,abiotic,NA,NA,239.67,NA,1,1,1,1,NA,NA,NA,NA,0.159,NA,1,5,1,2,1,2,NA,NA,1,NA
Hypericum_hirsutum,Accepted,Hypericum hirsutum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433492-1,Hypericaceae,NA,independent,0.575,1.299e-4,anemochorous,biotic,Jul,NA,272,NA,NA,1,1,1,0.667,NA,NA,NA,0.491,NA,NA,3,1,2,1,2,3,NA,1,NA
Hypericum_montanum,Accepted,Hypericum montanum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433620-1,Hypericaceae,forb,independent,0.35,2.71933333333333e-4,NA,biotic,Jun,NA,246,NA,1,1,NA,1,0.667,NA,NA,NA,1.331,NA,1,2,1,3,NA,2,3,NA,1,NA
Hypericum_tetrapterum,Accepted,Hypericum tetrapterum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433905-1,Hypericaceae,NA,independent,0.454,4.6e-5,NA,biotic,Jul,NA,361,no,NA,1,NA,1,0.75,NA,1,0.299,0.123,NA,NA,4,2,2,NA,3,4,NA,1,1
Impatiens_glandulifera,Accepted,Impatiens glandulifera,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30221088-2,Balsaminaceae,NA,independent,1.25,0.011906,NA,biotic,NA,NA,383,no,NA,1,NA,1,NA,NA,1,NA,0.207,NA,NA,4,1,2,NA,3,NA,NA,1,1
Impatiens_noli-tangere,Accepted,Impatiens noli-tangere,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30208246-2,Balsaminaceae,forb,independent,0.417,0.005575,autochorous,biotic,NA,NA,453.81,NA,1,1,1,1,NA,NA,NA,NA,0.151,NA,1,4,1,2,1,1,NA,NA,1,NA
Knautia_dipsacifolia,Accepted,Knautia dipsacifolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319367-1,Caprifoliaceae,forb,independent,0.4,0.00487,zoochorous,biotic,Jun,NA,220.7,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,2,1,1,2,1,3,NA,1,NA
Lamium_maculatum,Accepted,Lamium maculatum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:448886-1,Lamiaceae,forb,independent,0.375,0.00167,autochorous,biotic,Apr,NA,316.2,NA,1,1,1,1,0.667,NA,NA,NA,NA,NA,1,5,1,1,1,2,3,NA,1,NA
Lathyrus_pratensis,Accepted,Lathyrus pratensis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501954-1,Fabaceae,forb,independent,0.567,0.01205385,autochorous,biotic,Jun,NA,254.16,NA,1,1,1,1,1,NA,NA,NA,0.006,NA,1,3,1,2,1,2,3,NA,1,NA
Leucanthemum_vulgare,Accepted,Leucanthemum vulgare,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30296198-2,Asteraceae,NA,independent,0.50975,8.119666e-4,NA,biotic,May,NA,192.73,no,NA,1,NA,1,1,NA,1,0.39,1.009,NA,NA,12,4,5,NA,4,4,NA,1,1
Lycopus_europaeus,Accepted,Lycopus europaeus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:449641-1,Lamiaceae,NA,independent,0.6085,2.82555666666667e-4,NA,biotic,NA,NA,633.5,no,NA,1,NA,1,NA,NA,1,0.096,0.161,NA,NA,8,2,3,NA,4,NA,NA,1,1
Lysimachia_vulgaris,Accepted,Lysimachia vulgaris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:701414-1,Primulaceae,forb,independent,0.898,2.36e-4,autochorous,biotic,Jun,NA,263.16,NA,1,1,1,1,1,NA,NA,0.003,0.575,NA,1,3,2,2,1,2,3,NA,1,NA
Melica_nutans,Accepted,Melica nutans,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:408086-1,Poaceae,NA,independent,0.225,0.002477,anemochorous,abiotic,May,NA,287.25,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,5,1,1,1,2,2,NA,1,NA
Mentha_aquatica,Accepted,Mentha aquatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:450192-1,Lamiaceae,NA,independent,0.383,1.16583333333333e-4,hydrochorous,biotic,Jul,NA,299.64,NA,NA,1,1,1,0.667,NA,NA,NA,0.123,NA,NA,13,1,3,2,3,3,NA,1,NA
Mentha_aquatica_x_spicata,Accepted,Mentha aquatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:450192-1,Lamiaceae,NA,independent,0.383,1.16583333333333e-4,hydrochorous,biotic,Jul,NA,299.64,NA,NA,1,1,1,0.667,NA,NA,NA,0.123,NA,NA,13,1,3,2,3,3,NA,1,NA
Mercurialis_perennis,Accepted,Mercurialis perennis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:352211-1,Euphorbiaceae,herb,independent,0.217,0.0058041665,NA,NA,Apr,NA,256.83,NA,0.667,1,NA,NA,1,NA,NA,NA,0.005,NA,3,4,1,2,NA,NA,2,NA,1,NA
Molinia_arundinacea,Accepted,Molinia arundinacea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:408807-1,Poaceae,graminoid,independent,NA,NA,NA,NA,Jul,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA
Molinia_caerulea,Accepted,Molinia caerulea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:98382-3,Poaceae,graminoid,independent,0.788,7.42666666666667e-4,anemochorous,abiotic,Jul,NA,196.37,NA,1,1,1,1,0.667,NA,NA,NA,0.033,NA,1,3,1,3,1,2,3,NA,1,NA
Myosotis_scorpioides,Accepted,Myosotis scorpioides,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:119235-1,Boraginaceae,NA,independent,0.369,8.75666666666667e-4,hydrochorous,biotic,NA,NA,430.63,no,NA,1,0.667,1,NA,NA,1,0.349,1.128,NA,NA,8,2,3,3,3,NA,NA,1,1
Neottia_ovata,Accepted,Neottia ovata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:645363-1,Orchidaceae,forb,independent,0.14,NA,anemochorous,biotic,May,NA,280.3,NA,1,1,1,1,0.667,NA,NA,NA,NA,NA,1,5,1,NA,1,2,3,NA,1,NA
Petasites_hybridus,Accepted,Petasites hybridus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:237374-1,Asteraceae,forb,independent,0.575,2.14e-4,NA,biotic,NA,NA,220.4,NA,1,1,NA,1,NA,NA,NA,NA,0.071,NA,1,2,1,3,NA,2,NA,NA,1,NA
Phalaris_arundinacea,Accepted,Phalaris arundinacea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:415571-1,Poaceae,NA,independent,1.41666666666667,7.14878666666667e-4,NA,abiotic,Jun,NA,244.18,no,NA,1,NA,1,0.75,NA,1,0.073,0.164,NA,NA,15,3,3,NA,3,4,NA,1,1
Phragmites_australis,Accepted,Phragmites australis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30337627-2,Poaceae,NA,independent,3.075,4.2729175e-4,anemochorous,abiotic,NA,NA,163.03,no,NA,1,1,1,NA,NA,1,0.28,1.627,NA,NA,25,4,4,3,4,NA,NA,1,2
Pimpinella_major,Accepted,Pimpinella major,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:846901-1,Apiaceae,forb,independent,0.658,0.0020776,NA,biotic,Jun,NA,235.83,NA,1,1,NA,1,0.667,NA,NA,NA,0.049,NA,1,2,1,2,NA,2,3,NA,1,NA
Pleurospermum_austriacum,Accepted,Pleurospermum austriacum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:847217-1,Apiaceae,herb,independent,0.825,0.00421,hydrochorous,biotic,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,2,1,1,1,2,1,NA,NA,NA,NA
Poa_compressa,Accepted,Poa compressa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:204172-2,Poaceae,NA,independent,0.415,2.01866666666667e-4,unspecialized,abiotic,Jun,NA,194.2,NA,NA,1,1,1,0.667,NA,NA,0.43,0.079,NA,NA,7,3,3,1,3,3,NA,1,NA
Poa_palustris,Accepted,Poa palustris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:204398-2,Poaceae,NA,independent,0.772666666666667,1.87633333333333e-4,anemochorous,abiotic,Jun,NA,292.78,no,NA,1,1,1,0.667,NA,1,0.585,0.263,NA,NA,6,3,3,1,3,3,NA,1,1
Potentilla_neumanniana,Accepted,Potentilla neumanniana,https://www.worldfloraonline.org/taxon/wfo-0000995744,Rosaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Primula_elatior,Accepted,Primula elatior,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:701870-1,Primulaceae,herb,independent,0.113,6.51e-4,anemochorous,biotic,NA,NA,323.02,NA,0.667,1,0.667,1,NA,NA,NA,NA,0.432,NA,3,1,1,2,3,2,NA,NA,1,NA
Prunella_vulgaris,Accepted,Prunella vulgaris,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:455176-1,Lamiaceae,NA,independent,0.251,8.84807142857143e-4,NA,biotic,NA,NA,295.45,no,NA,1,NA,1,NA,NA,1,0.727,0.217,NA,NA,17,3,7,NA,4,NA,NA,1,1
Pulmonaria_officinalis,Accepted,Pulmonaria officinalis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:120402-1,Boraginaceae,forb,independent,0.15,0.00364,zoochorous,biotic,NA,NA,296.95,NA,1,1,1,1,NA,NA,NA,NA,0,NA,1,1,1,2,1,2,NA,NA,1,NA
Quercus_robur,Accepted,Quercus robur,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:304293-2,Fagaceae,tree,independent,30,3.432486625,NA,abiotic,Apr,NA,148.43,no,1,1,NA,1,0.75,NA,1,0.471,0.023,NA,1,7,2,2,NA,3,4,NA,1,1
Ranunculus_repens,Accepted,Ranunculus repens,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:713678-1,Ranunculaceae,NA,independent,0.426,0.00586225,hydrochorous,biotic,May,yellow,247.25,no,NA,1,1,1,0.75,1,1,0.611,1.176,NA,NA,10,2,4,2,4,4,1,1,1
Rosa_canina,Accepted,Rosa canina,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:731955-1,Rosaceae,NA,independent,1.75,0.139688968333333,zoochorous,biotic,NA,NA,122.58,no,NA,1,1,1,NA,NA,1,0.202,0.976,NA,NA,11,2,3,3,3,NA,NA,1,1
Rubus_caesius,Accepted,Rubus caesius,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:735608-1,Rosaceae,NA,independent,0.9875,0.003694625,zoochorous,biotic,NA,NA,193,NA,NA,1,1,1,NA,NA,NA,0.734,0.026,NA,NA,5,2,2,2,3,NA,NA,1,NA
Rubus_idaeus,Accepted,Rubus idaeus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298089-2,Rosaceae,subshrub,independent,1.42142857142857,0.0167451632857143,zoochorous,biotic,May,NA,246.95,NA,1,1,1,1,0.667,NA,NA,0.257,2.39,NA,1,7,7,7,3,2,3,NA,1,NA
Salvia_glutinosa,Accepted,Salvia glutinosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:456289-1,Lamiaceae,forb,independent,0.475,0.00412825,zoochorous,biotic,NA,NA,536.2,NA,1,1,1,1,NA,NA,NA,NA,0.245,NA,1,3,1,2,2,1,NA,NA,1,NA
Scirpus_sylvaticus,Accepted,Scirpus sylvaticus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:314368-1,Cyperaceae,graminoid,independent,0.775,1.255835e-4,NA,abiotic,May,NA,223.85,NA,0.667,1,NA,1,1,NA,NA,NA,0.029,NA,3,4,1,2,NA,2,3,NA,1,NA
Scrophularia_nodosa,Accepted,Scrophularia nodosa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30088899-2,Scrophulariaceae,forb,independent,0.583,9.9e-5,anemochorous,biotic,Jun,NA,260,NA,1,1,1,1,0.667,NA,NA,NA,NA,NA,1,4,1,1,1,2,3,NA,1,NA
Scutellaria_galericulata,Accepted,Scutellaria galericulata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:458280-1,Lamiaceae,forb,independent,0.242,7.065e-4,hydrochorous,biotic,Jun,NA,395.07,NA,1,1,1,1,1,NA,NA,NA,0.087,NA,1,5,1,2,1,2,3,NA,1,NA
Senecio_ovatus,Accepted,Senecio ovatus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:246691-1,Asteraceae,herb,independent,NA,0.00117,NA,biotic,Jul,NA,NA,NA,0.75,1,NA,1,1,NA,NA,NA,NA,NA,4,1,NA,1,NA,2,3,NA,NA,NA
Solidago_gigantea,Accepted,Solidago gigantea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249575-1,Asteraceae,forb,independent,1.9375,2.8783325e-4,anemochorous,biotic,Jul,NA,202.5,NA,1,1,1,1,0.75,NA,NA,0.411,0.872,NA,1,4,2,4,1,3,4,NA,1,NA
Stachys_sylvatica,Accepted,Stachys sylvatica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:460020-1,Lamiaceae,forb,independent,0.646,0.0011995,NA,biotic,Jun,NA,418.02,no,1,1,NA,1,0.75,NA,1,0.337,0.235,NA,1,4,2,2,NA,3,4,NA,1,1
Symphytum_officinale,Accepted,Symphytum officinale,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:120815-1,Boraginaceae,NA,independent,0.5835,0.0097245,zoochorous,biotic,May,NA,250.23,NA,NA,1,1,1,0.75,NA,NA,0.04,0.204,NA,NA,5,2,2,1,2,4,NA,1,NA
Thalictrum_aquilegiifolium,Accepted,Thalictrum aquilegiifolium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:714234-1,Ranunculaceae,forb,independent,0.675,0.002,anemochorous,NA,May,NA,342.7,NA,1,1,0.667,NA,0.667,NA,NA,NA,NA,NA,1,4,1,1,3,NA,3,NA,1,NA
Urtica_dioica,Accepted,Urtica dioica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:260630-2,Urticaceae,NA,independent,0.987333333333333,9.2e-5,NA,abiotic,NA,NA,284.8,no,NA,1,NA,1,NA,NA,1,0.188,1.414,NA,NA,17,3,2,NA,4,NA,NA,1,2
Valeriana_dioica,Accepted,Valeriana dioica,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30028947-2,Caprifoliaceae,forb,independent,0.18,6.761665e-4,anemochorous,biotic,May,NA,303,NA,1,1,1,1,0.667,NA,NA,NA,0.257,NA,1,2,1,2,1,2,3,NA,1,NA
Valeriana_excelsa_subsp_excelsa,Accepted,Valeriana excelsa subsp. excelsa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77225625-1,Caprifoliaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valeriana_officinalis,Accepted,Valeriana officinalis,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:860012-1,Caprifoliaceae,forb,independent,0.525,9.0625e-4,anemochorous,biotic,NA,NA,411.975,NA,1,1,1,1,NA,NA,NA,0,0.187,0.304,1,4,2,4,1,2,NA,NA,2,NA
Vicia_cracca_sstr,Accepted,Vicia cracca,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30263827-2,Fabaceae,NA,independent,0.6715,0.57659609375,autochorous,biotic,Jun,NA,254.33,yes,NA,1,1,1,0.75,NA,1,0.445,1.951,NA,NA,5,2,4,1,2,4,NA,1,1
Vinca_minor,Accepted,Vinca minor,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:82701-1,Apocynaceae,forb,independent,0.339,0.00613,unspecialized,biotic,Apr,NA,247,no,1,1,1,1,1,NA,1,1.039,0,NA,1,4,2,2,1,3,1,NA,1,1
Viola_odorata,Accepted,Viola odorata,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:868828-1,Violaceae,NA,independent,0.192666666666667,0.003262111,NA,biotic,NA,NA,293.5,no,NA,1,NA,1,NA,NA,1,0.463,0.276,NA,NA,15,3,3,NA,3,NA,NA,1,1
Carex SU3,Accepted,Carex,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330029-2,Cyperaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
